authorName,tweetCreatedAt,tweetText
bctrades,2019-02-07 01:29:38,"#es_f let’s see if it holds overnight, futures all red right now. #spy #spx #aapl #ba https://t.co/GCOiPxoWsG"
Mike Janes,2019-02-07 00:55:40,"""Their heart is in the right place, and in the tech world where there are still people doing the wrong thing at sca… https://t.co/ClghKCgqK7"
Fred Jones-West,2019-02-06 23:46:31,Some Popular iPhone Apps Secretly Record Your Screen for Analytics Purposes https://t.co/o9vHKq4mVK #AAPL
"David Coen ⚡[WTF is ""the Blockchain""?]",2019-02-06 23:17:54,RT @thedavidcoen: It seems that with @AbraGlobal we'll have stocks on top of #Bitcoin. Amazing! Take a look: https://t.co/GJPgBYGWRL #AMZN…
Quant,2019-02-06 23:03:46,$AAPL major resistance directly overhead. Buy 163ish - #AAPL chart https://t.co/DirKHXdpCi
Elf,2019-02-06 22:45:28,#Apple Regains Crown as Most Valuable Company with Shares Climbing Back Up  https://t.co/t4sqbm5Bq3 #investing #aapl https://t.co/IMrC0HD4Ur
Fred Jones-West,2019-02-06 22:21:13,Newton Mail for iOS and Mac is Back for $50/Year https://t.co/l6luC5TX3h #AAPL
Apple Stock Bot,2019-02-06 22:03:51,"Apple Inc price at close, 2019-02-06, is 174.24. #apple #AAPL"
Fred Jones-West,2019-02-06 22:02:25,Apple Once Again the Most Valuable Public Company in the World https://t.co/XP5vdNCtG0 #AAPL
Young Simon,2019-02-06 21:38:32,"Forex Best profits signals.🔥

Don't miss your chance, join telegram- https://t.co/Lbb0FwJIdV

#GLD #USO #UNG #BTT… https://t.co/GAqoKQnCa4"
HotHardware,2019-02-06 21:05:08,Researcher Discovers #macOS Keychain #Exploit But Won't Share Data With #Apple https://t.co/MBbIai3M3r via @HotHardware #security #Mac #AAPL
Fred Jones-West,2019-02-06 20:31:42,Apple Store at Natick Collection in Greater Boston Reopens February 16 https://t.co/cC4HgIFs8Q #AAPL
Fred Jones-West,2019-02-06 20:01:52,Apple Removes Useless 'Do Not Track' Feature From Latest Beta Versions of Safari https://t.co/rv0m0unsSv #AAPL
Fred Jones-West,2019-02-06 19:21:25,"macOS Keychain Security Flaw Discovered by Researcher, but Details Not Shared With Apple Over Bug Bounty Protest… https://t.co/9l2OfxTqad"
InteractiveSwingTrading,2019-02-06 19:18:30,"""The real story is about the earnings, but not the fourth-quarter earnings. It's about the guidance. That has been… https://t.co/tNHj77bxVP"
Dinero Inteligente,2019-02-06 19:12:46,"#AAPL #Apple 

Cook says Apple will ""elevate"" retail experience!"
Fred Jones-West,2019-02-06 17:57:54,Apple Releases Safari Technology Preview 75 With Bug Fixes and Performance Improvements https://t.co/ulymnGsU3E #AAPL
Eric Homan,2019-02-06 17:36:07,"#Askhalftime @HalftimeReport #Mobile #payments - #PYPL , #AAPL Pay, or #SQ ? How do they compare ?"
Proactiveinvestors,2019-02-06 17:27:42,"$AAPL Apple head of retail Angela Ahrendts steps down unexpectedly https://t.co/iKhuVuFZAD 
#AAPL #Apple"
Fred Jones-West,2019-02-06 17:22:36,Apple May Be Modifying iPhone 7 and iPhone 8 to Skirt German Sales Ban https://t.co/ed9khLkvN8 #AAPL
Fred Jones-West,2019-02-06 17:03:04,Some Users Report Adobe Premiere Pro Issue Causing Blown Out MacBook Pro Speakers https://t.co/YUfdeuYP5S #AAPL
Zach Maloney,2019-02-06 16:49:08,Stock Market been interesting lately #OptionsTrading #SPY #AAPL #FB #ROKU #AMZN
Modest Returns,2019-02-06 16:29:14,Itching to short BA - Parabolic Move. But POC (Yellow arrow) says to wait... another day or two to be safer to sell… https://t.co/Y8HePWOpbH
Dynamic Technical Advisors,2019-02-06 16:14:40,"02/06/19 9:33:02 AM Trade Allocation $AAPL SS @ LMT 175  Stop: 177.67 Target: 166.27 
$AAPL #AAPL #Apple #AppleInc #Bearish #ShortSell"
"David Coen ⚡[WTF is ""the Blockchain""?]",2019-02-06 16:01:55,It seems that with @AbraGlobal we'll have stocks on top of #Bitcoin. Amazing! Take a look: https://t.co/GJPgBYGWRL #AMZN #AAPL #BABA #FB #KO
Fred Jones-West,2019-02-06 15:51:37,Apple Preemptively Sues 'Patent Troll' to Address Threats Over USB-Related Power Patents https://t.co/3OwiFuMFRj #AAPL
Rui,2019-02-06 15:05:49,"#Options #OptionsTrading  #AAPL #StockMarket #trading 

Enough  $AAPL for today. Look out for &gt;$1 movement later."
Rui,2019-02-06 15:04:46,"#Options #OptionsTrading  #AAPL #StockMarket #trading 

Closed Limit $AAPL FEB08 175 Put @$2.9"
Rui,2019-02-06 15:03:53,"#Options #OptionsTrading  #AAPL #StockMarket #trading 

Set Limit at $AAPL FEB08 175 Put @$2.9"
Rui,2019-02-06 15:03:18,"#Options #OptionsTrading  #AAPL #StockMarket #trading 

BTO $AAPL FEB08 175 Put @$2.79 https://t.co/2B6sRURi1H"
Rui,2019-02-06 14:57:26,"#Options #OptionsTrading  #AAPL #StockMarket #trading 

BTO $AAPL FEB08 175 Put @$2.24 / 2.38 , closed in few mins.… https://t.co/PTLGNFHhy1"
David G Zeiler ⚡️,2019-02-06 14:53:37,"I'm not sure it's fair to imply blame for slumping #iPhone sales in #China on #AngelaAhrendts in your headline, but… https://t.co/z0JpgjIaTC"
Fred Jones-West,2019-02-06 14:16:39,Apple Maps Launches Revamped Data Collection Website https://t.co/8OrTt5d7Mr #AAPL
Griffin Mohsen,2019-02-06 13:55:59,"Forex Best profits signals.

For more info, Join Telegram- https://t.co/57gJJ2acqI

#AMZN #BTC #fx #CRON #FB #UNG… https://t.co/3w9QsZzHmO"
FOREX Sara,2019-02-06 13:54:20,"Forex Best profits signals.🔥

For Free crypto signals https://t.co/kevv7iTLxh

#UNG #CRON #TRX #FB #BTC #USO #forex… https://t.co/c6SZEfFIDO"
Himani chopra,2019-02-06 13:54:15,"Forex Best profits signals.

For free signals, join telegram https://t.co/rydHCeCrJ0

#fx #TSLA #GOOG #UNG #OIL… https://t.co/VyziHqOyBi"
Fred Jones-West,2019-02-06 13:41:28,Spotify Reaches 96M Paid Subscribers Compared to Apple Music's 'Over 50 Million' https://t.co/0sGEps9O4k #AAPL
Ron Giese,2019-02-06 13:32:43,#RT #ContestAlert #giveaway #contest #sweeps #win #AI #apple #appleNews #AppleEvent #AAPL #LetsGoOilers #SOTU… https://t.co/Uiu1OWg3eM
Ron Giese,2019-02-06 13:32:23,#RT #ContestAlert #giveaway #contest #sweeps #win #AI #apple #appleNews #AppleEvent #AAPL #LetsGoOilers #SOTU… https://t.co/XZzvaUlYvz
Modest Returns,2019-02-06 13:20:15,#SPY #SPX #ES_F Entire Overnight trading inside Y'day regular trade hours. Likely to be a dull day. Understanding O… https://t.co/XbGA1Hcm77
Parth shanker Upadhyaya,2019-02-06 13:11:36,"Forex Best profits signals.

For 10x gains, join Telegram- https://t.co/FrU2cwTmN3

#forex #AAPL #GOOG #BTT #TRX… https://t.co/eOXQSbhfML"
Aashraya Yogi,2019-02-06 13:11:28,"Forex Best profits signals.🔥

For more signals,join telegram- https://t.co/WySo0i6oGj

#USO #FB #BTC #UNG #BTT… https://t.co/pT7SgjNR3I"
Parichay Sidana,2019-02-06 12:46:12,"Forex Best profits signals.

For more signals,join telegram- https://t.co/zSPsEcn0uC

#fx #BTC #USO #OIL #UNG #GOOG… https://t.co/xMhc9zrDTi"
Proactive Investors,2019-02-06 12:43:02,$AAPL Apple head of retail Angela Ahrendts steps down unexpectedly https://t.co/LyioYc305n via @proactive_UK  #AAPL… https://t.co/0Qr2rQDW95
Fred Jones-West,2019-02-06 12:31:29,Apple Lists New 'Neymar Jr. Custom Edition' Beats Studio3 Wireless Headphones https://t.co/vdVq4hIJsf #AAPL
Nancy Giese,2019-02-06 12:16:39,#RT #ContestAlert #giveaway #contest #sweeps #win #AI #apple #appleNews #AppleEvent #AAPL #LetsGoOilers #SOTU… https://t.co/BuVQzMRS9Q
Nancy Giese,2019-02-06 12:16:00,#RT #ContestAlert #giveaway #contest #sweeps #win #apple #appleNews #AppleEvent #AAPL #LetsGoOilers #SOTU… https://t.co/MaJqkDXCmU
Nancy Giese,2019-02-06 12:15:38,#RT #ContestAlert #giveaway #contest #sweeps #win #AI #apple #appleNews #AppleEvent #AAPL #LetsGoOilers #SOTU… https://t.co/elL2VFg9Wn
FOREX Sara,2019-02-06 09:27:47,"Forex Best profits signals.🔥

For Free signals, join telegram- https://t.co/kevv7iTLxh

#CRON #UNG #TSLA #BTT… https://t.co/C739OjOtXu"
Griffin Mohsen,2019-02-06 09:24:53,"Forex Best profits signals.💥

For Free signals, join telegram- https://t.co/57gJJ2acqI

#BTT #GLD #GOOG #forex #TRX… https://t.co/GNeNsUbHXM"
Himani chopra,2019-02-06 09:23:47,"Forex Best profits signals.🔥

For more info, join telegram https://t.co/rydHCeCrJ0

#AMZN #OIL #GOOG #TSLA #forex… https://t.co/pPew2Qbdkk"
Dan Parks,2019-02-06 08:12:29,Apple Accidentally Reveals Radical New iPhone #aapl #smhq https://t.co/hPLUiTYIRJ
FOREX,2019-02-06 07:25:16,APPLE. WONDERFUL BUY. - #AAPL chart https://t.co/4z9rbWj1q7
SanctiGrail [⚡️],2019-02-06 06:22:13,I SAY! Hm... AAPL #TA #Trade #AAPL https://t.co/ine2eXKDL9
LUKE,2019-02-06 06:19:52,"RT @TrendSpider: Trading earnings with Technical analysis. Blog post on playing both sides with #AAPL #Apple as an example. 

Link: https:/…"
Parth shanker Upadhyaya,2019-02-06 05:55:50,"Forex Best profits signals.💥

For Free signals, join telegram- https://t.co/FrU2cwTmN3

#GOOG #forex #USO… https://t.co/tbuOedbIGB"
Aashraya Yogi,2019-02-06 05:52:55,"Forex Best profits signals.💥

For more info, Join Telegram- https://t.co/WySo0i6oGj

#TSLA #UNG #fx #TRX #AMZN #GLD… https://t.co/gZKVn3wrlU"
a mart,2019-02-06 05:49:04,@Apple profit looking maxed. Only dollar pool large enough to move the dial is global subscription TV. @Disney roll… https://t.co/DfgOdmYCON
Parichay Sidana,2019-02-06 05:28:54,"Forex Best profits signals.

For 10x gains, join Telegram- https://t.co/zSPsEcn0uC

#fx #TSLA #AAPL #UNG #OIL #CRON… https://t.co/COfVkhxwEx"
ElliottWaves,2019-02-06 05:19:22,All 78 instruments 1 hour charts are updated for members viewing https://t.co/x2kmaKA6Ui   #Indices #Stocks #ETF's… https://t.co/CGwjmYJKDk
James Owen,2019-02-06 04:40:22,"Activist Goverment Apple-instigated mess has caused QCOM market cap to decline from over $110 billion in September,… https://t.co/A9tjIRMdNi"
ZL,2019-02-06 03:47:46,RT @Trader_Mars: #AAPL - textbook reversal off the 200 week sma... forewarned is forearmed https://t.co/SA5QBOAKCD
Fred Jones-West,2019-02-06 02:46:24,What to Do If Your iPhone is Lost or Stolen https://t.co/OOZIABOEG4 #AAPL
SWIFT Unlock SWIFTUNLOCK.COM |#1 USA Direct Source,2019-02-06 02:15:12,"Check February 05, 2019 at 09:15PM, Still Looking for #ALPHA ? Make $10 in BitCoin https://t.co/XIwmJpIhc1 #roku… https://t.co/K7WtPfs7Bu"
daniela carolina alvarado,2019-02-06 02:05:45,"RT @xer000: Forex Best profits signals.🔥

Free crypto telegram channel, join https://t.co/WySo0i6oGj

#CRON #OIL #forexsignals #AMZN #GLD #…"
Mark Sigal,2019-02-06 01:56:21,Angela Ahrendts Plans April Departure After Five Successful Years. #AAPL https://t.co/XG65OtMyYJ
ElliottWaves,2019-02-06 01:28:35,Group 2 instruments Daily Technical Video is available for members viewing #ElliottWave #ES_F #NQ_F #TF_F #AAPL… https://t.co/BgYiOKmUnm
Ideas 4 Investors,2019-02-06 01:06:28,https://t.co/h8Oksxi3Hl &gt;&gt; World's Finest Social Media Network for Millennials is venturing into tapping the Power… https://t.co/tanTUcCLxw
ElliottWaves,2019-02-06 00:36:22,All 78 instruments 4 hour charts are updated for members viewing https://t.co/x2kmaKA6Ui       #Indices #Stocks… https://t.co/ZsNHxTYOTo
ElliottWaves,2019-02-06 00:34:32,Group 2 instruments  4 hour charts  are updated  for members viewing #ElliottWave #ES_F #NQ_F #TF_F #AAPL #PA_F… https://t.co/55PWccvYky
"Dr.Anirudh Sethi ,PhD",2019-02-06 00:12:00,"#AAPL
Eyes on $ 176.27 level.
Now crossover and close for 3 consecutive days will take to $185-187+
More to our Mem… https://t.co/P2f0Yly4OA"
A. M.,2019-02-06 00:10:36,"@MadMoneyOnCNBC @jimcramer #AAPL should just buy #SNAP already @tim_cook and get into social space. #stocks

@cnbc @MadMoneyOnCNBC"
MarketBeat,2019-02-05 23:58:36,Apple's top retail exec to leave amid iPhone sales slowdown $AAPL #AAPL #Technology #Salesfigures… https://t.co/CWe5vLfzBQ
MarketBeat,2019-02-05 23:58:34,Apple's top retail exec to leave amid iPhone sales slowdown $AAPL #AAPL #Technology #Salesfigures… https://t.co/MH9sTYmjtA
Fred Jones-West,2019-02-05 23:51:34,Apple Stops Signing iOS 12.1.2 Following Release of iOS 12.1.3 https://t.co/Lh137lpzXn #AAPL
ElliottWaves,2019-02-05 23:50:12,Group 3 #Stocks &amp; #ETF's  4 &amp; 1 hour charts are updated  for members viewing #ElliottWave #BTC #AAPL #XOM #BAC… https://t.co/5CYcA0Cw01
Apoorv Sharma,2019-02-05 23:33:49,Back where it belongs! #AAPL
LawnMower Man Seeker Squirrel,2019-02-05 23:23:28,RT @Trader_Mars: #AAPL - textbook reversal off the 200 week sma... forewarned is forearmed https://t.co/SA5QBOAKCD
Fred Jones-West,2019-02-05 23:21:57,"Apple Expands Transit Directions to New Areas, Introduces More Indoor Maps for Malls and Airports https://t.co/44LriF8aLc #AAPL"
TrendSpider,2019-02-05 23:12:04,"Trading earnings with Technical analysis. Blog post on playing both sides with #AAPL #Apple as an example. 

Link:… https://t.co/inDHFMluF0"
Tina Leonardi,2019-02-05 22:56:45,Angela Ahrendts is leaving the company in April after serving in the role since 2014...  #apple #AAPL https://t.co/mraqe3Q1Ej
Fred Jones-West,2019-02-05 22:46:30,New Razer Blade Stealth vs. Apple's MacBooks https://t.co/08meyHri3Q #AAPL
Classic,2019-02-05 22:39:12,Island reversal patterns in #AAPL https://t.co/pm88nBZsRf
Marie Claude China,2019-02-05 22:30:15,"RT @SWIFTUNLOCK: Check February 03, 2019 at 09:15PM, Still Looking for #ALPHA ? Make $10 in BitCoin https://t.co/XIwmJpZSAB #roku #gpro #aa…"
P. Ricatti,2019-02-05 22:24:43,RT @Trader_Mars: #AAPL - textbook reversal off the 200 week sma... forewarned is forearmed https://t.co/SA5QBOAKCD
Fred Jones-West,2019-02-05 22:21:19,Democrats Send Letter to Tim Cook Asking for Answers About Group FaceTime Eavesdropping Flaw https://t.co/0w6vhDLAgy #AAPL
Alisa Gümüşay,2019-02-05 22:20:14,"RT @xer000: Forex Best profits signals.🔥

Free crypto telegram channel, join https://t.co/WySo0i6oGj

#CRON #OIL #forexsignals #AMZN #GLD #…"
Dario Mofardin,2019-02-05 22:15:07,#AAPL - textbook reversal off the 200 week sma... forewarned is forearmed https://t.co/SA5QBOAKCD
Apple Stock Bot,2019-02-05 22:04:07,"Apple Inc price at close, 2019-02-05, is 174.18. #apple #AAPL"
Fred Jones-West,2019-02-05 21:46:11,"Angela Ahrendts Departing Apple in April, Deirdre O'Brien to Oversee Retail and People https://t.co/aPcpSpnGxO #AAPL"
MarketSwingPlayer,2019-02-05 21:37:09,🤓 #AAPL Rocket Alert Trade Update: Up $9 in 2 days since rocket alert yesterday - Touch N GO with a Triple Twist.… https://t.co/DkIWLsFZ07
crocodile,2019-02-05 21:10:08,"RT @Redfoo: #aapl if models bellow the iPhone X are being banned in China  , I guess that means more sales for iPhone X and up! 🧐"
MarkItJunkie,2019-02-05 21:02:31,#AAPL ends the day at the 450MA
Jason Brooks,2019-02-05 20:47:52,"FAANG stocks leading the market,#Dow +153, #Nasdaq +52. #AAPL +1.6%, and #GOOG has turned it around, +1% after bein… https://t.co/f5QRINNy67"
Fred Jones-West,2019-02-05 20:46:56,"Waffle, Flamingo, Otter, Sloth, Skunk, and Garlic Among New Emojis Coming to iOS in 2019 https://t.co/nxcuj5KNr4 #AAPL"
BigDataFed,2019-02-05 20:19:36,"While iPhone shipments were negatively impacted in China for several reasons, our calculation doesn't show Apple lo… https://t.co/4LVvZrSgAR"
MarketBeat,2019-02-05 20:00:06,The top 10 books on Apple's iBooks-US $AAPL #AAPL #Mediadistribution #Media #Mobilemedia https://t.co/WJVzyO14NZ
MarketBeat,2019-02-05 20:00:03,The top 10 movies on the iTunes Store $AAPL #AAPL #Movies #Mediadistribution #Media https://t.co/B0EYjdIrMb
MarketBeat,2019-02-05 20:00:02,The top 10 books on Apple's iBooks-US $AAPL #AAPL #Mediadistribution #Media #Mobilemedia https://t.co/mcr6hsixbm
MarketBeat,2019-02-05 20:00:00,The top 10 movies on the iTunes Store $AAPL #AAPL #Movies #Mediadistribution #Media https://t.co/CFxZCt7RUO
Jason Brooks,2019-02-05 19:39:15,@ESscalper pretty amazing to think of #AAPL's power as one stock.  It fell over 25% from 10/3-1/2....as the overall… https://t.co/2ctu09rriK
Ghino di Tacco,2019-02-05 19:08:54,@CryptOwenWilson have u ever worked at topeka securities?? #goodolddays #aapl
SHM,2019-02-05 18:35:37,$xbit is it the return of the dead? #fb #tsla #aapl
Fred Jones-West,2019-02-05 18:21:19,Apple Seeds Second Public Beta of macOS Mojave 10.14.4 https://t.co/mR63zxgFjz #AAPL
Fred Jones-West,2019-02-05 18:21:18,Apple Seeds Second Public Beta of tvOS 12.2 for Fourth and Fifth-Generation Apple TV https://t.co/wu8GR4fkFd #AAPL
Griffin Mohsen,2019-02-05 17:12:28,"Forex Best profits signals.💥

For Free signals, join telegram- https://t.co/57gJJ2acqI

#CRON #fx #USO #BTC #FB… https://t.co/yQIC2FjJMi"
Fred Jones-West,2019-02-05 17:11:52,Second Public Beta of iOS 12.2 Coming Today https://t.co/Eb7qoq9G7w #AAPL
FOREX Sara,2019-02-05 17:09:48,"Forex Best profits signals.

Don't miss your chance, join telegram- https://t.co/kevv7iTLxh

#forexsignals #AAPL… https://t.co/dgTh4YVvvA"
Himani chopra,2019-02-05 17:02:55,"Forex Best profits signals.

For more info, join telegram https://t.co/rydHCeCrJ0

#CRON #OIL #FB #AAPL #UNG #AMZN… https://t.co/CXHXlCJZ5M"
Fred Jones-West,2019-02-05 16:47:26,Fuse's Side Kick Adds a Pop Socket to Your MacBook Pro Charger for Cord Winding https://t.co/c2miAx07f0 #AAPL
ElliottWaves,2019-02-05 16:38:42,All 78 instruments 1 hour charts are updated for members viewing https://t.co/x2kmaKA6Ui      #Indices #Stocks #ETF… https://t.co/ViUxMwpWWi
Fred Jones-West,2019-02-05 16:36:42,"Apple Launches Annual 'Back to School' Promotion in Japan, Offers Free Gift Cards With Select Macs, iPad Pros https://t.co/6JfKCrpLrT #AAPL"
cheri1,2019-02-05 16:36:36,"RT @MysteryTrader99: $AAPL Daily: #AAPL 13MA never recrossed BC, it then exploded upward into earnings (reversing Upper BB). Since then it…"
Dekker Hewett Group,2019-02-05 16:31:01,"Dekker Hewett Group | Morning Coffee - Tuesday, February 5, 2019: ""Football is like life it requires perseverance,… https://t.co/PPI9pAB9O2"
TheExecutionVenue,2019-02-05 16:26:57,$AAPL fibs https://t.co/HmQXiROxMb #AAPL | Trade with us @ https://t.co/6gNj3Cxius
Parth shanker Upadhyaya,2019-02-05 16:23:09,"Forex Best profits signals.🔥

Don't miss your chance, join telegram- https://t.co/FrU2cwTmN3

#TSLA #CRON #UNG #TRX… https://t.co/RRUDl3jyRi"
Aashraya Yogi,2019-02-05 16:21:17,"Forex Best profits signals.

Free crypto telegram channel, join https://t.co/WySo0i6oGj

#AAPL #TSLA #AMZN #FB #OIL… https://t.co/uwzGjD1ARm"
Mystery Trader,2019-02-05 16:14:13,"$AAPL Daily: #AAPL 13MA never recrossed BC, it then exploded upward into earnings (reversing Upper BB). Since then… https://t.co/WtQ1a1vcXf"
MillTicket,2019-02-05 15:55:48,It had no reason being down there in the first place. Still a buy at these levels it’s currently at #AAPL https://t.co/x9zmfZFPox
Parichay Sidana,2019-02-05 15:55:01,"Forex Best profits signals.🔥

Free crypto telegram channel, join https://t.co/zSPsEcn0uC

#AAPL #OIL #AMZN #FB… https://t.co/f5pyN5eyVn"
Fred Jones-West,2019-02-05 15:46:37,"Apple Music's New Memoji Billboards Highlight Grammy Nominees Shawn Mendes, Ariana Grande, and Kacey Musgraves https://t.co/69gHNQ95Uc #AAPL"
Chris Will,2019-02-05 15:38:28,"RT @Market_Taker: Group Coaching: Looking at an AAPL bull call spread

#stockmarket #stocks #trading #options #optionstrading #optionseduca…"
Market Taker,2019-02-05 15:37:50,"Group Coaching: Looking at an AAPL bull call spread

#stockmarket #stocks #trading #options #optionstrading… https://t.co/z7Lul01oAS"
Stan Bunger,2019-02-05 15:27:35,"RT @brookskcbsradio: #AAPL back on top of the market cap lead at $822B, $7B more than #MSFT and $8B more than #AMZN.  Apple is up over 20-p…"
Jason Brooks,2019-02-05 15:25:57,"#AAPL back on top of the market cap lead at $822B, $7B more than #MSFT and $8B more than #AMZN.  Apple is up over 2… https://t.co/FLITk88NVj"
Fred Jones-West,2019-02-05 15:21:25,Apple Faces Class Action Lawsuit Over Erroneous 'This Accessory May Not Be Supported' Alerts https://t.co/XS4CLxQUbL #AAPL
Ja. ALHamad,2019-02-05 14:59:03,Apple vs Netflix #AAPL #NFLX https://t.co/7L8JItVae2
Meghdad,2019-02-05 14:57:02,"#baba running great
#aapl #sq the best since I have it lol
#ba #fb don’t play too risky. They are at the border to… https://t.co/2aQWX5jA8i"
Steve Job's Ghost,2019-02-05 14:57:02,"RT @AAATrade: ‘if you can’t beat them, buy them.’ - Should #Apple buy #Netflix?
Read more: https://t.co/fBIOdOpQGt

#AAPL #NFLX $AAPL $NFLX…"
Fred Jones-West,2019-02-05 14:52:09,"Sonos Debuts New In-Wall, In-Ceiling, and Outdoor Speakers With AirPlay 2 Support https://t.co/9Zc2SQgwdo #AAPL"
Meghdad,2019-02-05 14:47:58,"Bot #aapl calls upon open for this week and next week and will hold till tomorrow.
Bot #sq calls this week, will see how it goes today."
AAATrade,2019-02-05 14:42:52,"‘if you can’t beat them, buy them.’ - Should #Apple buy #Netflix?
Read more: https://t.co/fBIOdOpQGt

#AAPL #NFLX… https://t.co/OyxShKUBfh"
EquityMongoose,2019-02-05 14:11:22,#Google Declines as Rising Costs and 'Other Bets' Questions Cloud Solid Q4 #GOOGL #MSFT #AAPL #SPX #DJIA #NASDAQ… https://t.co/6isjIyyyJn
Fred Jones-West,2019-02-05 14:06:56,Eve's HomeKit-Enabled Light Strip Now Available for Purchase https://t.co/rigCAwUKbs #AAPL
Ron Giese,2019-02-05 13:34:02,#RT #ContestAlert #giveaway #contest #sweeps #win #AI #apple #appleNews #AppleEvent #AAPL #LetsGoOilers iDrop News… https://t.co/lWrs8m2In7
Fred Jones-West,2019-02-05 13:31:50,HomePod Struggling to Gain Market Share Alongside Cheaper Amazon Echo and Google Home Speakers https://t.co/kRmwvCwsqc #AAPL
Griffin Mohsen,2019-02-05 12:44:11,"Forex Best profits signals.🔥

For Free crypto signals https://t.co/57gJJ2acqI

#UNG #OIL #forexsignals #AAPL #GLD… https://t.co/RzjY4dQmgY"
Himani chopra,2019-02-05 12:36:12,"Forex Best profits signals.

Free crypto telegram channel, join https://t.co/rydHCeCrJ0

#BTC #fx #FB #TRX #UNG… https://t.co/qBhtvjDV2G"
FOREX Sara,2019-02-05 12:34:49,"Forex Best profits signals.🔥

For Free signals, join telegram- https://t.co/kevv7iTLxh

#UNG #OIL #TSLA #BTT #GLD… https://t.co/SQBiJTmRgs"
MarketSwingPlayer,2019-02-05 12:34:06,#AAPL Lot's of traders sizzled if shorted that one near resistance $167 MSP Bot said a battle play. The Dual Play t… https://t.co/vujjNrvubB
MarketSwingPlayer,2019-02-05 12:28:06,"🚀 $AAPL Performs Fantastic Touch-And-Go, With Two Rolls - #AAPL #Bloomberg #CNBC #trading #QQQ #SPY https://t.co/t3RqmM9kGa"
Ephraim Golgher,2019-02-05 12:27:55,"RT @i_Know_First: Apple Stock Forecast: Why Apple Will Release A New Mac Mini This Year
Read the Full Article Here: https://t.co/UMAJZZXbEJ…"
Nancy Giese,2019-02-05 12:25:54,#RT #giveaway #contest #sweeps #win #AI #apple #appleNews #AppleEvent #AAPL #YearofThePig iDrop News is giving away… https://t.co/V6VMNWcpcV
Nancy Giese,2019-02-05 12:25:25,#RT #ContestAlert #giveaway #contest #sweeps #win #AI #apple #appleNews #AppleEvent #AAPL #LetsGoOilers… https://t.co/BsDJTUELAR
MarketSwingPlayer,2019-02-05 12:24:12,"🚀F-16 Performs Fantastic Touch-And-Go, With Two Rolls - #AAPL #NVDA Last Rocket Alerts @ https://t.co/dZgBzdRm3o… https://t.co/rlqQCWKCl9"
Young Simon,2019-02-05 12:02:44,"Forex Best profits signals.💥

Don't miss your chance, join telegram- https://t.co/Lbb0FwJIdV

#fx #TRX #GLD #GOOG… https://t.co/NUUKoKd3Z4"
Parth shanker Upadhyaya,2019-02-05 11:55:08,"Forex Best profits signals.🔥

Don't miss your chance, join telegram- https://t.co/FrU2cwTmN3

#FB #fx #CRON #BTT… https://t.co/ZN8H6Q7YeD"
Aashraya Yogi,2019-02-05 11:53:22,"Forex Best profits signals.🔥

For free signals, join telegram https://t.co/WySo0i6oGj

#GOOG #fx #AMZN #TSLA #TRX… https://t.co/WNPw7JZXD5"
Max HarryHindsight Capital,2019-02-05 11:53:20,"RT @flyalex666: Apple agreed to pay 10 years of back taxes worth €500M to French IRS. 
#AAPL
https://t.co/nY88STCnN6"
alex,2019-02-05 11:53:01,"Apple agreed to pay 10 years of back taxes worth €500M to French IRS. 
#AAPL
https://t.co/nY88STCnN6"
Fred Jones-West,2019-02-05 11:46:38,Apple Pay Expands to BNP Paribas and HSBC Banks in France https://t.co/ArJnss2yGV #AAPL
Parichay Sidana,2019-02-05 11:25:17,"Forex Best profits signals.🔥

For free signals, join telegram https://t.co/zSPsEcn0uC

#fx #UNG #USO #AMZN #TRX… https://t.co/lL8fCHkAbS"
(mae)STRO STORES,2019-02-05 11:16:59,"RT @aapltrdng: FEBRUARY @apple HEART ♥️ MONTH

@apple Watch Series 4 With ECG App and irregular Heart Rhythm Notification  Available @aaplt…"
Fred Jones-West,2019-02-05 10:36:11,Apple Agrees Deal With France to Pay $571 million in Back-Taxes https://t.co/D6YJehElqF #AAPL
Fred Jones-West,2019-02-05 10:11:24,"Apple Supplier of iPhone 3D Optical Sensors Warns of Weak First Quarter Outlook, Skips Dividend https://t.co/SYQA9t5DyZ #AAPL"
Steve Job's Ghost,2019-02-05 06:57:01,"RT @zachlark: Dear @Apple
YOU SUCK!!

#TimCook you are #Ballmerizing #AAPL

you have just about bricked the iPhone 6, 3-4yr old iMacs and g…"
Zachary Lark,2019-02-05 06:06:31,"Dear @Apple
YOU SUCK!!

#TimCook you are #Ballmerizing #AAPL

you have just about bricked the iPhone 6, 3-4yr old i… https://t.co/CJg8zRyj9F"
digiburster,2019-02-05 05:28:17,"RT @Raceytherunner: Look whats on @DXdotExchange from 7th January 
#USD 
#EUR 
#JPY 
#GBP 
#USDT 
#BTC 
#ETH 
#BCH 
#XRP 
#LTC 
#DASH 
#DGB…"
Andy Race,2019-02-05 05:23:51,"RT @Raceytherunner: Look whats on @DXdotExchange from 7th January 
#USD 
#EUR 
#JPY 
#GBP 
#USDT 
#BTC 
#ETH 
#BCH 
#XRP 
#LTC 
#DASH 
#DGB…"
Fred Jones-West,2019-02-05 02:46:26,2018 MacBook Air's FaceTime HD Camera Quality Issue https://t.co/a5Am4SJxxd #AAPL
